,lambda,ag_s,ae_s,ae_v,ae_t
0,480.0,2389.530739919929,301.0849876823767,129.95767519865217,2154.9103395607167
1,480.29481442484865,2355.5808368418257,-261.29514239136256,949.8187778134723,2087.367100337644
2,480.5896288496973,2322.646479283112,-744.7164674329151,1681.6477194265651,2097.8599661741473
3,480.88444327454596,2290.6827854749445,-1199.6152813431338,2412.399554725076,2174.932119186613
4,481.17925769939455,2259.6474799609814,-1663.0279998893154,3215.954670910054,2321.1307743219313
5,481.4740721242432,2229.5007071168507,-2171.707646542322,4178.4157068336635,2552.1729465700287
6,481.76888654909186,2200.204860454788,-2774.3939907680765,5428.503802579525,2902.928990799896
7,482.0637009739405,2171.7244261762876,-3553.096651158785,7198.096903524879,3445.5594444123776
8,482.35851539878917,2144.025839604402,-4677.679237388726,9984.039357868065,4342.374709444163
9,482.6533298236378,2117.0773532752396,-6595.87065841826,15116.842931610085,6034.809818393034
10,482.94814424848647,2090.848915598937,-11059.097214286196,27837.07520517904,10268.560143919982
11,483.24295867333507,2065.3120591148536,-39310.101289695165,111857.08932533785,38280.65852163162
12,483.5377730981837,2040.4397974676422,19826.442111699947,-66368.48250555825,-21110.41261539623
13,483.8325875230324,2016.2065303202496,6605.251873735824,-27628.54829997493,-8166.612907752946
14,484.127401947881,1992.5879554996152,3166.5731307706274,-18376.65828558728,-5037.214909169983
15,484.4222163727297,1969.5609877411016,1412.218992519473,-14363.351082513238,-3635.924943434223
16,484.71703079757833,1947.1036834607858,208.19822197553248,-12250.977529736138,-2845.2219674399635
17,485.0118452224269,1925.1951710400797,-794.6358832701806,-11087.69091624904,-2339.910700023668
18,485.3066596472756,1903.8155861572614,-1762.5879238296282,-10523.657480370068,-1990.390318002498
19,485.60147407212423,1882.9460117447372,-2817.920873097654,-10438.80475077613,-1734.1746645324383
20,485.8962884969729,1862.568422190421,-4101.077133772861,-10852.594152279602,-1535.8648077295709
21,486.19110292182154,1842.6656314375466,-5842.045726489636,-11948.930543327764,-1369.806783280548
22,486.4859173466702,1823.2212446685435,-8532.737229974095,-14268.10729981591,-1204.560665045169
23,486.78073177151884,1804.219613287742,-13574.384631711446,-19556.535824497245,-956.80523628912
24,487.07554619636744,1785.6457929429487,-27590.974079719334,-36833.77621485986,-137.66036206080494
25,487.3703606212161,1767.4855043492385,-1191615.722123391,-1773844.8642220222,114602.13972860355
26,487.66517504606475,1749.7250966992085,-5377.317015705486,88980.93729160372,-20592.273686679422
27,487.9599894709134,1732.3515134626127,25279.445799690708,1986.2948256868472,3045.340530367914
28,488.25480389576205,1715.3522603951903,14891.94973479068,4141.14325924725,631.3082143020073
29,488.5496183206107,1698.7153755921722,10979.001938495005,3358.0746475469946,89.06545547569236
30,488.84443274545936,1682.4294014354157,8827.691463347803,2620.2736725766795,-118.88437727764365
31,489.13924717030795,1666.4833582960655,7446.7805562823505,2063.351251980015,-216.53930901919537
32,489.4340615951566,1650.8667198658115,6477.811062029856,1648.7762635200893,-266.77885210653125
33,489.72887602000526,1635.5693900003137,5756.661884946271,1335.7059853843746,-293.35718878250896
34,490.0236904448539,1620.5816809677478,5196.878662006565,1094.8724101021828,-306.9693607078082
35,490.31850486970256,1605.8942930039614,4748.372603995097,906.3153497782993,-313.02443888395874
36,490.6133192945512,1591.4982950836263,4380.031513254815,756.3551159194085,-314.49237467339043
